Case Type,Case Duration (Days),Judge Experience (Years),Number of Witnesses,Legal Fees (USD),Plaintiff's Reputation,Defendant's Wealth (USD),Number of Evidence Items,Number of Legal Precedents,Settlement Offered (USD),Severity,Outcome
Criminal,221,39,18,24306,2,663160,3,1,29014,1,0
Civil,212,14,1,42444,3,252011,67,4,21591,1,0
Civil,47,6,19,21418,1,307309,66,6,25530,3,0
Commercial,358,13,9,45005,3,285111,63,1,28470,1,0
Criminal,33,17,17,36315,2,84229,38,2,38244,2,0
Civil,212,10,19,18851,2,805066,94,7,9490,2,0
Commercial,323,21,16,10520,3,683651,6,1,8264,3,0
Civil,338,21,10,35802,1,397937,47,8,33041,1,0
Commercial,255,22,15,8798,3,786419,70,4,32352,3,0
Commercial,42,35,5,8071,3,265209,80,0,302,1,0
Civil,294,31,13,36311,1,75942,21,0,36665,3,0
Criminal,212,1,2,49497,1,803761,16,0,10923,1,0
Commercial,238,6,6,33213,3,762956,44,7,34926,1,0
Civil,196,5,11,32342,2,653455,97,9,2978,1,0
Criminal,221,35,17,13041,3,830986,13,3,3821,1,0
Civil,108,15,17,21692,3,137106,27,9,41984,1,0
Civil,106,17,9,39755,1,720635,82,9,25379,1,0
Commercial,321,5,11,34534,3,225180,15,5,3061,2,0
Commercial,77,8,17,48638,3,555578,40,5,13197,1,0
Civil,75,27,10,22870,3,724855,77,5,49787,2,0
Civil,161,20,11,27711,2,774502,52,1,35643,2,0
Commercial,242,30,18,40672,1,765811,10,4,11278,2,0
Criminal,171,36,14,49209,1,444249,83,8,13597,2,0
Commercial,201,16,17,42307,2,140022,71,7,11873,2,0
Commercial,55,19,7,6025,1,763166,26,3,35292,2,0
Criminal,261,11,12,27473,2,290028,62,1,39418,3,0
Commercial,214,25,4,46246,2,752953,18,3,13844,2,0
Civil,299,12,16,42546,1,957335,26,3,18345,2,0
Criminal,193,19,7,12675,1,31175,38,4,4188,2,0
Commercial,127,3,8,29985,1,459416,22,4,36244,2,0
